scenario,episode,original_mc_run,phase,phase_legacy,type,location,severity,action,recovery_plan,plan_length,plan_actions,applied,rejected_plan,rejected_reward,att_disrupted,att_recovered,improvement_att,CEF_disrupted,CEF_recovered,improvement_CEF,CEF2_disrupted,CEF2_recovered,improvement_CEF2,exposure_disrupted,exposure_recovered,improvement_exposure,dun_disrupted,dun_recovered,improvement_dun,cost_disrupted,cost_recovered,improvement_cost,energy_disrupted,energy_recovered,improvement_energy,reward,changed_routes,short_turn_routes_count,selected_routes_count,critical_routes_count,donor_routes_count,transfer_hubs_count,repaired_routes_count,failed_routes_count,inserted_existing_nodes_count,frequency_increase,frequency_increase_critical,frequency_reduction_donor,old_headway_min,new_headway_min,coverage_floor_percent,coverage_gap_before,coverage_gap_after,coverage_floor_reached,applied_for_coverage,att_delta_min,demand_share,critical_demand_share,donor_demand_share,assumed_affected_transfer_share,additional_vkm,additional_vh,additional_cost,additional_energy
S1_service,1,1,calibration,train,area_closure,peripheral_area,severe,greedy:redundancy_restoration+redundant_overlay_line,greedy:redundancy_restoration+redundant_overlay_line,2,"[""redundancy_restoration"", ""redundant_overlay_line""]",True,,,16.616021535158275,17.73246046901416,-0.06719050835927139,0.8184571090988246,1.3184764588140927,0.6109292034445426,0.8184571090988246,1.2234617262392662,0.4948391462887755,62.04344666445235,53.51084229654241,0.13752627919039637,21.652202858231256,6.836984975669669,0.6842360557752425,27546.95971304254,38263.69238437826,-0.3890350435391864,,,,0.6971670277165986,,,,,,,,,,,,,,,5.9348077641848,15.717395094046456,0.9021772114848687,False,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,2,2,calibration,train,combined_disruption,peripheral_area + central_area,mild,greedy:redundancy_restoration,greedy:redundancy_restoration,1,"[""redundancy_restoration""]",True,,,18.010292160551884,18.087369092146247,-0.004279604734185535,0.9578497749858651,1.2369236528221255,0.2913545371354069,0.9574362151361573,1.2282387886685733,0.2828413728781975,58.92583961871307,42.43491847824923,0.27985890820004233,13.556348936935327,7.043067559522103,0.4804598500461494,30498.358303205372,38423.972499561685,-0.25987019096445374,,,,0.45765391876591266,5.0,,,,,,15.0,0.0,13.0,,,,,,7.043067559522101,6.513281377413226,1.7763568394002505e-15,True,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,3,3,calibration,train,combined_disruption,central + any_road,moderate,greedy:redundancy_restoration,greedy:redundancy_restoration,1,"[""redundancy_restoration""]",True,,,18.39129455651576,18.174036600197432,0.01181308665633635,0.9319732944936268,1.3839673261575376,0.48498603375700244,0.9288423510070005,1.3318773357030187,0.4339110767926005,43.98910569257337,42.32608457041522,0.03780529510603156,23.565213398864657,0.0,1.0,30455.132005219653,37475.25598396318,-0.2305070940930533,,,,0.7303904524753602,5.0,,,,,,15.0,0.0,10.0,,,,,,0.0,23.565213398864657,0.0,True,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,4,4,calibration,train,demand_surge,peripheral_area,mild,greedy:corridor_relief,greedy:corridor_relief,1,"[""corridor_relief""]",True,,,17.891242908640876,17.238251517044638,0.03649782158403679,1.204402274955368,1.2420226997461263,0.031235763642303356,1.188806649266686,1.221099573812223,0.02716415202207765,66.9819610039053,63.521001166630036,0.05167002854803661,0.0,0.0,,32101.844943896358,33818.95506043014,-0.053489452694533146,,,,0.07575190653955317,,,,,,33.0,,,,,,,,,0.0,0.0,0.0,True,False,-0.35,,,,0.35,0.0,0.0,0.0,0.0
S1_service,5,5,calibration,train,area_closure,central_area,moderate,greedy:budget_neutral_reconfiguration,greedy:budget_neutral_reconfiguration,1,"[""budget_neutral_reconfiguration""]",True,,,16.239776155728062,15.356881587387225,0.05436617844202397,0.6929092007695837,0.8132405287795841,0.1736610336193453,0.6897618363079218,0.7872765809350369,0.14137451435278145,26.147292971639974,28.03757472147409,-0.07229359275869837,45.71675247317972,41.41170085405549,0.09416792283419165,25788.25743625848,25756.78812443636,0.0012202961716161708,,,,0.2325642158774896,8.0,,,,,,14.0,1.0,2.0,,,,,,39.68529414755372,6.031458325625998,1.7264067065017699,False,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,6,6,calibration,train,area_closure,peripheral_area,moderate,greedy:redundancy_restoration,greedy:redundancy_restoration,1,"[""redundancy_restoration""]",True,,,18.077937927026785,17.940657785693375,0.007593794263900732,0.9984397754574745,1.231714661392806,0.23363941588609832,0.9984397754574745,1.2084700323691713,0.2103584633489417,64.54344845793112,57.71736065925411,0.10575957687055093,7.423918837194455,2.7934794851137674,0.6237190160110316,29517.83133006251,37181.6685703435,-0.2596341565403464,,,,0.38008070482881856,6.0,,,,,,15.0,0.0,12.0,,,,,,2.793479485113767,4.630439352080687,4.440892098500626e-16,True,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,7,7,calibration,train,combined_disruption,any_road + central_area,mild,greedy:redundancy_restoration,greedy:redundancy_restoration,1,"[""redundancy_restoration""]",True,,,15.466661500502484,19.42390926739872,-0.25585662211380733,0.5047467332637687,1.4395600879527304,1.8520443879731863,0.5044897512547362,1.3821156803769665,1.7396308387622397,29.9303408152511,41.39094107350454,-0.3829091131636449,54.04875065439719,0.0,1.0,29292.26747626738,38143.571202064064,-0.3021720231446069,,,,1.300094575678565,11.0,,,,,,15.0,0.0,22.0,,,,,,0.0,54.04875065439719,0.0,True,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,8,8,calibration,train,combined_disruption,peripheral_area + central_area,moderate,greedy:redundancy_restoration,greedy:redundancy_restoration,1,"[""redundancy_restoration""]",True,,,17.525418480749025,17.97500006944896,-0.025653115741217977,0.9078484874312134,1.3688732266733357,0.5078212340768521,0.9044894718246926,1.3444769760073085,0.48644845284378707,39.224902350071034,42.03527514291812,-0.07164766830431622,26.300215817432353,0.0,1.0,30009.413524300184,38191.89945775313,-0.272663973483759,,,,0.7316825148485773,6.0,,,,,,15.0,0.0,21.0,,,,,,0.0,26.300215817432353,0.0,True,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,9,9,calibration,train,combined_disruption,central + central_area,mild,greedy:redundancy_restoration+redundant_overlay_line,greedy:redundancy_restoration+redundant_overlay_line,2,"[""redundancy_restoration"", ""redundant_overlay_line""]",True,,,14.709462038418486,17.63284637429677,-0.19874175739690034,0.9408930093864697,1.3140762466575577,0.39662664463245456,0.9265411119114234,1.2716779203191726,0.37250026358327853,47.08615628718084,57.19886590208276,-0.21477033617320537,24.606541331300967,0.0,1.0,31012.613342295343,36341.71731165966,-0.1718366624104015,,,,0.43904900683637027,,,,,,,,,,,,,,,0.0,24.606541331300967,0.0,True,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,10,10,calibration,train,demand_surge,peripheral_area,severe,greedy:corridor_relief,greedy:corridor_relief,1,"[""corridor_relief""]",True,,,18.06585444962578,17.435581069770638,0.03488754886255578,1.215509859906349,1.2461330658610317,0.02519371250270411,1.198957982647875,1.2253790447946478,0.022036687297767078,65.17309386617784,62.38766724117859,0.04273890435090682,0.0,0.0,,32101.844943896358,33818.95506043014,-0.053489452694533146,,,,0.06366735529175427,,,,,,33.0,,,,,,,,,0.0,0.0,0.0,True,False,-0.35,,,,0.35,0.0,0.0,0.0,0.0
